combination,horizon,origin_date,target_date,actual,forecast
simple_average,1,2024-03-01,2024-04-01,107.8,107.84792020425161
simple_average,1,2024-04-01,2024-05-01,108.3,108.44370750422247
simple_average,1,2024-05-01,2024-06-01,108.6,108.85321409598272
simple_average,1,2024-06-01,2024-07-01,109.1,109.17757343854214
simple_average,1,2024-07-01,2024-08-01,109.1,110.60708100046375
simple_average,1,2024-08-01,2024-09-01,108.6,110.86919091270617
simple_average,1,2024-09-01,2024-10-01,108.5,110.02088978785761
simple_average,1,2024-10-01,2024-11-01,108.9,109.46047303745226
simple_average,1,2024-11-01,2024-12-01,109.5,109.55569755966948
simple_average,1,2024-12-01,2025-01-01,109.9,110.73487052866707
simple_average,1,2025-01-01,2025-02-01,110.1,111.55751598897471
simple_average,1,2025-02-01,2025-03-01,110.3,111.20193901160586
simple_average,1,2025-03-01,2025-04-01,110.2,111.6064974901965
simple_average,1,2025-04-01,2025-05-01,109.9,111.35578577409841
simple_average,1,2025-05-01,2025-06-01,109.4,110.97782464741155
simple_average,1,2025-06-01,2025-07-01,108.8,110.36437377049143
simple_average,1,2025-07-01,2025-08-01,108.1,109.58350703933132
simple_average,1,2025-08-01,2025-09-01,108.0,108.78115154816147
simple_average,1,2025-09-01,2025-10-01,107.7,107.96762016291783
simple_average,1,2025-10-01,2025-11-01,106.6,107.59182652092895
simple_average,1,2025-11-01,2025-12-01,105.6,106.02163935932543
simple_average,1,2025-12-01,2026-01-01,106.0,105.40361294015648
simple_average,1,2026-01-01,2026-02-01,105.9,106.42875309365705
simple_average,1,2026-02-01,2026-03-01,105.9,106.46439603128758
inverse_rmse,1,2024-03-01,2024-04-01,107.8,107.81793364906636
inverse_rmse,1,2024-04-01,2024-05-01,108.3,108.42429755083529
inverse_rmse,1,2024-05-01,2024-06-01,108.6,108.83225158163982
inverse_rmse,1,2024-06-01,2024-07-01,109.1,109.144682094457
inverse_rmse,1,2024-07-01,2024-08-01,109.1,110.51827845822822
inverse_rmse,1,2024-08-01,2024-09-01,108.6,110.72453005491278
inverse_rmse,1,2024-09-01,2024-10-01,108.5,109.89231444858564
inverse_rmse,1,2024-10-01,2024-11-01,108.9,109.3887084380012
inverse_rmse,1,2024-11-01,2024-12-01,109.5,109.49643189141423
inverse_rmse,1,2024-12-01,2025-01-01,109.9,110.65718782163852
inverse_rmse,1,2025-01-01,2025-02-01,110.1,111.43678935360593
inverse_rmse,1,2025-02-01,2025-03-01,110.3,111.11749451143724
inverse_rmse,1,2025-03-01,2025-04-01,110.2,111.49628296755183
inverse_rmse,1,2025-04-01,2025-05-01,109.9,111.24407929289073
inverse_rmse,1,2025-05-01,2025-06-01,109.4,110.88628449257652
inverse_rmse,1,2025-06-01,2025-07-01,108.8,110.26996481005764
inverse_rmse,1,2025-07-01,2025-08-01,108.1,109.48699849524517
inverse_rmse,1,2025-08-01,2025-09-01,108.0,108.71632620952484
inverse_rmse,1,2025-09-01,2025-10-01,107.7,107.96152634311959
inverse_rmse,1,2025-10-01,2025-11-01,106.6,107.58143850535673
inverse_rmse,1,2025-11-01,2025-12-01,105.6,106.03672217635635
inverse_rmse,1,2025-12-01,2026-01-01,106.0,105.39211617459445
inverse_rmse,1,2026-01-01,2026-02-01,105.9,106.41098901686944
inverse_rmse,1,2026-02-01,2026-03-01,105.9,106.43261740070045
model_confidence_set,1,2024-03-01,2024-04-01,107.8,107.24451213433564
model_confidence_set,1,2024-04-01,2024-05-01,108.3,108.15170307001377
model_confidence_set,1,2024-05-01,2024-06-01,108.6,108.63806929360346
model_confidence_set,1,2024-06-01,2024-07-01,109.1,108.72374926801656
model_confidence_set,1,2024-07-01,2024-08-01,109.1,109.77616018008962
model_confidence_set,1,2024-08-01,2024-09-01,108.6,109.13914754484875
model_confidence_set,1,2024-09-01,2024-10-01,108.5,108.25089870628157
model_confidence_set,1,2024-10-01,2024-11-01,108.9,108.58149305012982
model_confidence_set,1,2024-11-01,2024-12-01,109.5,108.81075698728061
model_confidence_set,1,2024-12-01,2025-01-01,109.9,110.01839240993742
model_confidence_set,1,2025-01-01,2025-02-01,110.1,110.44853718165275
model_confidence_set,1,2025-02-01,2025-03-01,110.3,110.29202334107354
model_confidence_set,1,2025-03-01,2025-04-01,110.2,110.3666297131718
model_confidence_set,1,2025-04-01,2025-05-01,109.9,110.06903865986192
model_confidence_set,1,2025-05-01,2025-06-01,109.4,109.9546160558906
model_confidence_set,1,2025-06-01,2025-07-01,108.8,109.2613982083743
model_confidence_set,1,2025-07-01,2025-08-01,108.1,108.16779921098707
model_confidence_set,1,2025-08-01,2025-09-01,108.0,107.96938118988403
model_confidence_set,1,2025-09-01,2025-10-01,107.7,107.81048320305281
model_confidence_set,1,2025-10-01,2025-11-01,106.6,107.34102342185241
model_confidence_set,1,2025-11-01,2025-12-01,105.6,105.84932652958118
model_confidence_set,1,2025-12-01,2026-01-01,106.0,105.03034387066471
model_confidence_set,1,2026-01-01,2026-02-01,105.9,106.25237745030716
model_confidence_set,1,2026-02-01,2026-03-01,105.9,106.17914001336203
