model,horizon,origin_date,target_date,actual,forecast
ar1,1,2024-03-01,2024-04-01,107.8,107.65815099204892
ar1,1,2024-04-01,2024-05-01,108.3,107.75473898893026
ar1,1,2024-05-01,2024-06-01,108.6,108.23679436269508
ar1,1,2024-06-01,2024-07-01,109.1,108.52644793964232
ar1,1,2024-07-01,2024-08-01,109.1,109.00933229635805
ar1,1,2024-08-01,2024-09-01,108.6,109.01001039116284
ar1,1,2024-09-01,2024-10-01,108.5,108.52806679823624
ar1,1,2024-10-01,2024-11-01,108.9,108.43209642333755
ar1,1,2024-11-01,2024-12-01,109.5,108.81838408676954
ar1,1,2024-12-01,2025-01-01,109.9,109.39825729165582
ar1,1,2025-01-01,2025-02-01,110.1,109.78578943513135
ar1,1,2025-02-01,2025-03-01,110.3,109.98033523687091
ar1,1,2025-03-01,2025-04-01,110.2,110.1751048171168
ar1,1,2025-04-01,2025-05-01,109.9,110.07935494501129
ar1,1,2025-05-01,2025-06-01,109.4,109.78986064198415
ar1,1,2025-06-01,2025-07-01,108.8,109.30698330542155
ar1,1,2025-07-01,2025-08-01,108.1,108.72789511943797
ar1,1,2025-08-01,2025-09-01,108.0,108.05280599916748
ar1,1,2025-09-01,2025-10-01,107.7,107.9566339595278
ar1,1,2025-10-01,2025-11-01,106.6,107.66760049205199
ar1,1,2025-11-01,2025-12-01,105.6,106.60752533959645
ar1,1,2025-12-01,2026-01-01,106.0,105.64352715221099
ar1,1,2026-01-01,2026-02-01,105.9,106.02904283905004
ar1,1,2026-02-01,2026-03-01,105.9,105.93245269003553
adaboost,1,2024-03-01,2024-04-01,107.8,108.16486486486482
adaboost,1,2024-04-01,2024-05-01,108.3,108.24375000000002
adaboost,1,2024-05-01,2024-06-01,108.6,108.49166666666669
adaboost,1,2024-06-01,2024-07-01,109.1,108.74799999999999
adaboost,1,2024-07-01,2024-08-01,109.1,111.4
adaboost,1,2024-08-01,2024-09-01,108.6,112.72500000000001
adaboost,1,2024-09-01,2024-10-01,108.5,111.4
adaboost,1,2024-10-01,2024-11-01,108.9,110.17586206896553
