model,horizon,feature,abs_shap
catboost,1,miacr_yoy_lag1,1.2124396269360673
catboost,1,cpi_yoy_lag1,0.46757323472477336
catboost,1,ruonia_yoy_lag1,0.4074449178547472
catboost,1,lag2,0.35741740785614784
catboost,1,rolling_mean_lag1_window_size3,0.3126376269568388
catboost,1,yc_025_yoy_lag1,0.2971228805628194
catboost,1,lag1,0.2363069833393263
catboost,1,euro_rub_yoy_lag1,0.2333651484771194
catboost,1,exponentially_weighted_mean_lag1_alpha0.5,0.19682606967598104
catboost,1,lag6,0.16757376633244828
catboost,1,lag3,0.15104285089678313
catboost,1,nominal_credit_yoy_lag1,0.14362169507583541
catboost,1,yc_10_yoy_lag1,0.1426213757042841
catboost,1,rolling_mean_lag6_window_size2,0.12236025741790722
catboost,1,pce_index_yoy_lag1,0.06486586597099715
catboost,1,gov_debt_internal_yoy_lag1,0.052445862394409674
catboost,1,m2_aggregate_yoy_lag1,0.04997484653436363
catboost,1,lag12,0.04798825882977448
catboost,1,rolling_mean_lag3_window_size3,0.04509711725155819
catboost,1,gov_income_oil_yoy_lag1,0.0384891899023372
catboost,1,initialize_building_yoy_lag1,0.029116300155574995
catboost,1,price_natural_gas_yoy_lag1,0.025952321742681084
catboost,1,year,0.025268410279276492
catboost,1,gov_expenses_all_yoy_lag1,0.024462878747081338
catboost,1,gov_debt_external_yoy_lag1,0.02063952825413691
catboost,1,seasonal_rolling_mean_lag12_season_length12_window_size2,0.01925811497964987
catboost,1,unempl_official_yoy_lag1,0.014977384153581184
catboost,1,freight_yoy_lag1,0.012772328156212875
catboost,1,price_oil_brent_yoy_lag1,0.012557423223113125
catboost,1,work_construction_yoy_lag1,0.007976379869986503
catboost,1,nominal_wages_yoy_lag1,0.005971123499428175
catboost,1,usd_rub_yoy_lag1,0.004665726326307364
catboost,1,retail_turnover_foods_yoy_lag1,0.004129147504551981
catboost,1,rolling_mean_lag12_window_size2,0.004118500301747473
catboost,1,gov_income_nonoil_yoy_lag1,0.0035103934674258915
catboost,1,volume_services_yoy_lag1,0.0030684110063419513
catboost,1,retail_turnover_nonfoods_yoy_lag1,0.001840817175406338
catboost,1,fao_index_yoy_lag1,0.0014540727158937952
catboost,1,hicp_index_yoy_lag1,0.0014200533292448938
catboost,1,month,0.0012467889097983389
catboost,1,quarter,0.0
gradient_boosting,1,miacr_yoy_lag1,1.7574062314359697
gradient_boosting,1,cpi_yoy_lag1,0.5332563417933379
gradient_boosting,1,lag1,0.35197608875114944
gradient_boosting,1,exponentially_weighted_mean_lag1_alpha0.5,0.30116722331469686
gradient_boosting,1,ruonia_yoy_lag1,0.29435797442889283
gradient_boosting,1,lag6,0.20018386422302117
gradient_boosting,1,yc_10_yoy_lag1,0.17950648233460242
gradient_boosting,1,euro_rub_yoy_lag1,0.10653770028938579
gradient_boosting,1,nominal_credit_yoy_lag1,0.08989768415138649
gradient_boosting,1,yc_025_yoy_lag1,0.08476798691545528
gradient_boosting,1,pce_index_yoy_lag1,0.03717000140868046
gradient_boosting,1,gov_income_nonoil_yoy_lag1,0.029236056729757955
gradient_boosting,1,m2_aggregate_yoy_lag1,0.024956735044489756
gradient_boosting,1,rolling_mean_lag6_window_size2,0.01955985105431365
gradient_boosting,1,initialize_building_yoy_lag1,0.012753475508520573
gradient_boosting,1,fao_index_yoy_lag1,0.010781941596116723
gradient_boosting,1,gov_income_oil_yoy_lag1,0.008880794646047995
gradient_boosting,1,work_construction_yoy_lag1,0.0068069247532191015
gradient_boosting,1,year,0.00368977886159279
gradient_boosting,1,lag12,0.003132233984610986
gradient_boosting,1,gov_debt_external_yoy_lag1,0.0027343801210563227
gradient_boosting,1,unempl_official_yoy_lag1,0.0012212042944731794
gradient_boosting,1,freight_yoy_lag1,0.0
gradient_boosting,1,gov_debt_internal_yoy_lag1,0.0
gradient_boosting,1,gov_expenses_all_yoy_lag1,0.0
gradient_boosting,1,hicp_index_yoy_lag1,0.0
gradient_boosting,1,lag2,0.0
gradient_boosting,1,lag3,0.0
gradient_boosting,1,month,0.0
gradient_boosting,1,nominal_wages_yoy_lag1,0.0
gradient_boosting,1,price_natural_gas_yoy_lag1,0.0
gradient_boosting,1,price_oil_brent_yoy_lag1,0.0
gradient_boosting,1,quarter,0.0
gradient_boosting,1,retail_turnover_foods_yoy_lag1,0.0
gradient_boosting,1,retail_turnover_nonfoods_yoy_lag1,0.0
gradient_boosting,1,rolling_mean_lag12_window_size2,0.0
gradient_boosting,1,rolling_mean_lag1_window_size3,0.0
gradient_boosting,1,rolling_mean_lag3_window_size3,0.0
gradient_boosting,1,seasonal_rolling_mean_lag12_season_length12_window_size2,0.0
gradient_boosting,1,usd_rub_yoy_lag1,0.0
gradient_boosting,1,volume_services_yoy_lag1,0.0
lightgbm,1,cpi_yoy_lag1,1.518058832838211
lightgbm,1,exponentially_weighted_mean_lag1_alpha0.5,0.6799690056352986
lightgbm,1,miacr_yoy_lag1,0.6579873368967891
lightgbm,1,ruonia_yoy_lag1,0.49224135070930825
lightgbm,1,lag6,0.2736286368644297
lightgbm,1,yc_025_yoy_lag1,0.2209457245435098
lightgbm,1,lag2,0.21891138221993386
lightgbm,1,yc_10_yoy_lag1,0.12716112101648824
lightgbm,1,nominal_credit_yoy_lag1,0.10723664564319003
lightgbm,1,month,0.0695483178605764
lightgbm,1,retail_turnover_foods_yoy_lag1,0.05585201079600855
lightgbm,1,retail_turnover_nonfoods_yoy_lag1,0.05023404191619737
lightgbm,1,unempl_official_yoy_lag1,0.036151414690485946
lightgbm,1,work_construction_yoy_lag1,0.03271981855537285
lightgbm,1,m2_aggregate_yoy_lag1,0.03157016802482827
lightgbm,1,rolling_mean_lag3_window_size3,0.03104526354452548
lightgbm,1,euro_rub_yoy_lag1,0.030445453561341013
lightgbm,1,nominal_wages_yoy_lag1,0.028772742626852366
lightgbm,1,price_natural_gas_yoy_lag1,0.027216139132428468
lightgbm,1,gov_income_oil_yoy_lag1,0.027004412804008063
lightgbm,1,lag3,0.026684226117842342
lightgbm,1,year,0.024764366103646556
lightgbm,1,lag12,0.023398197070451026
